,Date,Temperature,DewPoint,Humidity,Sea Level PressureIn,VisibilityMiles,Wind SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,City,Season
309,11/5/2015,61,58,88,30.26,6,4,0.01,7,Fog-Rain,186,New York City (USA),Autumn
310,11/6/2015,69,62,81,30,6,9,,7,Fog,201,New York City (USA),Autumn
311,11/7/2015,63,45,57,30.02,10,11,0,7,NA,309,New York City (USA),Autumn
312,11/8/2015,52,31,46,30.35,10,10,0,2,NA,314,New York City (USA),Autumn
313,11/9/2015,49,37,58,30.42,10,3,0,5,NA,171,New York City (USA),Autumn
314,11/10/2015,56,52,77,30.03,8,12,0.45,8,Rain,52,New York City (USA),Autumn
315,11/11/2015,55,47,78,29.86,8,13,0.09,8,Rain,360,New York City (USA),Autumn
316,11/12/2015,56,51,82,29.79,10,11,0.05,7,Rain,155,New York City (USA),Autumn
317,11/13/2015,55,31,42,29.7,10,20,0,2,NA,275,New York City (USA),Autumn
318,11/14/2015,47,24,40,30.07,10,18,0,2,NA,299,New York City (USA),Autumn
319,11/15/2015,50,31,49,30.25,10,13,0,2,NA,250,New York City (USA),Autumn
320,11/16/2015,57,37,50,30.22,10,9,0,0,NA,268,New York City (USA),Autumn
321,11/17/2015,47,30,53,30.52,10,8,0,3,NA,63,New York City (USA),Autumn
322,11/18/2015,52,43,68,30.47,10,11,0,7,NA,103,New York City (USA),Autumn
323,11/19/2015,61,57,86,30.12,7,19,0.58,8,Rain,144,New York City (USA),Autumn
324,11/20/2015,54,34,61,30.1,9,13,,3,NA,312,New York City (USA),Autumn
325,11/21/2015,49,31,48,30.19,10,10,0,5,NA,77,New York City (USA),Autumn
326,11/22/2015,51,34,60,29.91,10,13,0,6,NA,326,New York City (USA),Autumn
327,11/23/2015,41,16,35,30.06,10,15,0,1,NA,319,New York City (USA),Autumn
328,11/24/2015,40,21,49,30.38,10,7,0,3,NA,284,New York City (USA),Autumn
329,11/25/2015,42,27,52,30.73,10,4,0,1,NA,46,New York City (USA),Autumn
330,11/26/2015,48,42,78,30.76,10,6,0,5,NA,121,New York City (USA),Autumn
331,11/27/2015,53,49,80,30.45,9,5,0,5,Fog,204,New York City (USA),Autumn
332,11/28/2015,56,47,73,30.18,10,8,0.02,7,Rain,300,New York City (USA),Autumn
333,11/29/2015,44,26,52,30.26,10,11,,5,Rain,357,New York City (USA),Autumn
334,11/30/2015,42,30,63,30.4,10,9,0,5,NA,43,New York City (USA),Autumn
335,12/1/2015,50,45,79,30.18,8,11,0.29,8,Rain,62,New York City (USA),Autumn
336,12/2/2015,52,50,87,29.82,2,5,0.12,8,Fog-Rain,65,New York City (USA),Autumn
337,12/3/2015,51,35,62,29.92,10,16,,5,NA,285,New York City (USA),Autumn
338,12/4/2015,47,30,54,30.43,10,10,0,1,NA,307,New York City (USA),Autumn
339,12/5/2015,44,33,62,30.65,10,5,0,0,NA,287,New York City (USA),Autumn
340,12/6/2015,45,36,70,30.45,10,6,0,1,NA,232,New York City (USA),Autumn
341,12/7/2015,48,34,60,30.14,9,8,0,6,NA,263,New York City (USA),Autumn
342,12/8/2015,46,32,61,30.11,10,8,0,6,NA,2,New York City (USA),Autumn
343,12/9/2015,45,39,75,30.11,10,8,0,6,NA,169,New York City (USA),Autumn
344,12/10/2015,54,47,76,29.98,10,7,0,5,NA,201,New York City (USA),Autumn
345,12/11/2015,52,47,84,29.96,6,6,0,6,Fog,203,New York City (USA),Autumn
346,12/12/2015,57,49,75,30.13,9,4,,6,NA,212,New York City (USA),Autumn
347,12/13/2015,62,50,73,30.14,9,7,,6,NA,131,New York City (USA),Autumn
348,12/14/2015,57,54,92,29.84,3,11,0.36,8,Fog-Rain,146,New York City (USA),Autumn
349,12/15/2015,59,44,68,29.59,9,18,0.09,5,Rain,280,New York City (USA),Autumn
350,12/16/2015,49,38,65,30.1,10,9,0.05,5,Rain,82,New York City (USA),Autumn
351,12/17/2015,55,53,87,29.87,7,9,1.17,8,Rain,127,New York City (USA),Autumn
352,12/18/2015,49,37,66,29.74,10,14,0.01,7,Rain,297,New York City (USA),Autumn
353,12/19/2015,39,17,44,30.09,10,20,0,5,NA,272,New York City (USA),Autumn
354,12/20/2015,40,19,43,30.47,10,12,0,4,NA,277,New York City (USA),Autumn
355,12/21/2015,47,37,64,30.26,10,12,0,8,NA,215,New York City (USA),Winter
356,12/22/2015,56,53,88,30.02,7,9,0.19,8,Rain,207,New York City (USA),Winter
357,12/23/2015,56,53,92,30.09,1,10,1.16,8,Fog-Rain,119,New York City (USA),Winter
358,12/24/2015,63,58,91,30,6,11,0.02,7,Fog-Rain,195,New York City (USA),Winter
359,12/25/2015,58,57,89,30.17,1,2,0.1,8,Fog-Rain,85,New York City (USA),Winter
360,12/26/2015,55,38,66,30.4,10,11,0.01,8,Rain,54,New York City (USA),Winter
361,12/27/2015,56,51,82,29.97,6,12,0.08,8,Fog-Rain,283,New York City (USA),Winter
362,12/28/2015,42,25,57,30.41,10,14,0.05,7,Rain-Snow,39,New York City (USA),Winter
363,12/29/2015,42,40,88,30.12,6,12,0.66,8,Rain-Snow,28,New York City (USA),Winter
364,12/30/2015,46,41,85,30.23,9,7,0.37,8,Rain,65,New York City (USA),Winter
365,12/31/2015,48,38,71,30.06,10,12,0.06,7,Rain,317,New York City (USA),Winter
